id,name,mode,max_depth,status,steps,time_s,solution
3-1,Pick 拾取,bfs,80,PASS,24,0.54,RPDORPRUODDPUODRPLLDORRR
3-2,Spin 旋轉,bfs,80,PASS,19,0.64,UVUURPDDLOLCRXPLOLU
3-3,Checkerboard 棋盤,bfs,80,PASS,29,77.59,UPRVORDCUPDVDROULCXPDDRRRUOUU
3-4,Cycle 循環,bfs,80,PASS,29,13.17,RUVUURPTPLOCVXPUUULOLCRXPLOLD
3-5,No carry 禁止攜帶,bfs,80,PASS,20,0.05,LLPLRRVORTLORRUCDXDU
3-6,Hand over 交接,bfs,80,PASS,29,11.43,RRPRDVOTLODDCUVXPLLTCVXUULLLC
3-7,Zip 拉鏈,bfs,80,TIMEOUT,,120.58,
3-8,Spiral 螺旋,bfs,80,PASS,29,19.14,RUVUURRDCPLLLUVODCXPUULLLUUDO
3-9,Clover 三葉草,bfs,80,TIMEOUT,,122.83,
